x	y	category	mutation_count
55	140	1	7078
55	142	1	5796
55	144	1	7738
55	150	1	4844
55	151	1	5941
55	152	1	7591
55	157	1	4448
55	161	1	7447
55	162	1	6936
55	163	1	6132
55	165	1	5515
55	171	1	6944
55	174	1	6343
55	181	1	6901
56	36	1	6051
56	37	1	5453
56	38	1	7084
56	41	1	7570
56	43	1	6497
56	44	1	8188
56	46	1	5343
56	48	1	9677
56	50	1	6074
56	51	1	4421
56	57	1	6312
56	58	1	6317
56	59	1	7225
56	60	1	5304
56	61	1	6435
56	65	1	4796
56	66	1	7451
56	67	1	6065
56	72	1	7436
56	74	1	4748
56	79	1	8873
56	81	1	7027
56	84	1	7389
56	86	1	7139
56	90	1	4232
56	91	1	6411
56	92	1	6514
56	97	1	7560
56	99	1	5315
56	102	1	5589
56	104	1	6976
56	107	1	5835
56	113	1	6128
56	117	1	8510
56	118	1	6937
56	121	1	7506
56	123	1	6795
56	127	1	8722
56	128	1	6901
56	129	1	7652
56	133	1	5744
56	134	1	6111
56	136	1	5477
56	141	1	6046
56	147	1	5334
56	151	1	5528
56	156	1	6450
56	160	1	6962
56	163	1	8712
56	184	1	7607
57	33	1	5581
57	38	1	6539
57	48	1	6938
57	50	1	8993
57	51	1	4659
57	53	1	5892
57	61	1	7686
57	72	1	5102
57	73	1	4697
57	75	1	7312
57	76	1	8394
57	77	1	3894
57	78	1	8054
57	80	1	6601
57	82	1	6236
57	83	1	7397
57	84	1	5642
57	85	1	9198
57	86	1	4944
57	88	1	8082
57	90	1	5004
57	91	1	6419
57	93	1	7146
57	100	1	6686
57	101	1	7034
57	103	1	7434
57	104	1	6090
57	107	1	7124
57	109	1	5037
57	110	1	5879
57	113	1	4106
57	114	1	4476
57	115	1	8561
57	117	1	6325
57	121	1	5850
57	123	1	8148
57	125	1	5782
57	128	1	7664
57	129	1	8194
57	132	1	6318
57	134	1	5168
57	135	1	4709
57	137	1	7719
57	141	1	8103
57	145	1	5488
57	147	1	7278
57	151	1	8269
57	155	1	8306
57	163	1	5177
57	166	1	4095
57	171	1	6845
57	172	1	7671
57	174	1	8861
57	186	1	5803
57	190	1	6067
58	43	1	5665
58	47	1	6044
58	52	1	4796
58	58	1	7594
58	59	1	5151
58	63	1	6610
58	66	1	5786
58	70	1	7764
58	72	1	5461
58	75	1	6519
58	76	1	5292
58	80	1	8745
58	81	1	5761
58	82	1	5186
58	85	1	6302
58	87	1	4564
58	90	1	6473
58	91	1	7060
58	94	1	6061
58	96	1	5433
58	99	1	9896
58	103	1	6365
58	107	1	6748
58	111	1	6782
58	116	1	7535
58	119	1	7779
58	120	1	6622
58	121	1	5903
58	122	1	6190
58	124	1	6830
58	129	1	5518
58	130	1	5114
58	132	1	7454
58	134	1	6015
58	136	1	7531
58	138	1	6164
58	139	1	5803
58	141	1	7906
58	144	1	6970
58	146	1	7352
58	148	1	7935
58	151	1	5543
58	152	1	6729
58	157	1	9231
58	158	1	5275
58	161	1	9625
58	171	1	5344
58	176	1	6403
59	32	1	6064
59	45	1	6384
59	48	1	6475
59	49	1	5682
59	50	1	7118
59	56	1	6122
59	65	1	8017
59	69	1	5758
59	71	1	6061
59	73	1	8701
59	75	1	7285
59	77	1	6571
59	78	1	7981
59	79	1	4599
59	81	1	9626
59	85	1	7300
59	86	1	9050
59	88	1	7346
59	91	1	5915
59	94	1	6150
59	99	1	9417
59	100	1	5034
59	101	1	5847
59	114	1	6935
59	115	1	6121
59	120	1	7301
59	121	1	6473
59	122	1	7857
59	128	1	7551
59	129	1	5988
59	130	1	5454
59	131	1	7670
59	135	1	7257
59	136	1	7934
59	138	1	6279
59	143	1	9835
59	146	1	6209
59	147	1	5772
59	148	1	4557
59	150	1	7482
59	161	1	6741
60	32	1	6282
60	36	1	6566
60	38	1	5784
60	39	1	7437
60	42	1	6119
60	44	1	4479
60	47	1	8505
60	49	1	4299
60	55	1	9502
60	59	1	4786
60	62	1	5961
60	63	1	5575
60	64	1	6121
60	66	1	6610
60	70	1	6087
60	71	1	7480
60	73	1	7741
60	80	1	6279
60	81	1	7808
60	82	1	7640
