s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean
0.4,0.3,1.00E-06,1,0.6,16,0,173,200,2,0,1.38,3.699837293,125,NA,47.74242424,216.9861111,0.220025254,2,24,-0.343583022,0.375,1,2,15,15,9,24,0.201447412
0,0.3,0,0.5,0.6,16,0,39,200,3,0,1.5,3.673217727,141,NA,45.70833333,247.1923077,0.184910015,3,26,-0.285762509,0.230769231,1,2,10,12,6,18,0.238502826
0,0.3,0,0.5,0.6,16,0,39,200,3,0,1.5,3.673217727,141,NA,45.70833333,247.1923077,0.184910015,3,26,-0.285762509,0.230769231,1,3,9,12,8,20,0.204887434
0,0.3,0,0.5,0.6,16,0,39,200,3,0,1.5,3.673217727,141,NA,45.70833333,247.1923077,0.184910015,3,26,-0.285762509,0.230769231,2,3,4,6,8,14,0.306050619
0,0.3,0,0.8,0.6,16,0,8,200,3,0,1.62,3.808915848,154,NA,57.0625,228.1538462,0.250105361,3,26,0.214237491,0.192307692,1,2,4,5,6,11,0.373090108
0,0.3,0,0.8,0.6,16,0,8,200,3,0,1.62,3.808915848,154,NA,57.0625,228.1538462,0.250105361,3,26,0.214237491,0.192307692,1,3,9,5,15,20,0.218641246
0,0.3,0,0.8,0.6,16,0,8,200,3,0,1.62,3.808915848,154,NA,57.0625,228.1538462,0.250105361,3,26,0.214237491,0.192307692,2,3,10,6,15,21,0.230325966
0.6,0.3,1.00E-06,1,0.6,16,0,52,200,2,0,1.35,2.609381318,114,NA,17.08333333,107.1,0.159508248,2,20,0.504520686,0.5,1,2,13,10,10,20,0.136928096
0,0.3,0,0.6,0.6,16,0,84,200,3,0,1.54,3.041996318,130,NA,46.04166667,238.4423077,0.193093529,3,26,-0.708839432,0.307692308,1,2,8,8,10,18,0.185467485
0,0.3,0,0.6,0.6,16,0,84,200,3,0,1.54,3.041996318,130,NA,46.04166667,238.4423077,0.193093529,3,26,-0.708839432,0.307692308,1,3,6,8,8,16,0.192970699
0,0.3,0,0.6,0.6,16,0,84,200,3,0,1.54,3.041996318,130,NA,46.04166667,238.4423077,0.193093529,3,26,-0.708839432,0.307692308,2,3,10,10,8,18,0.187569751
