s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean,whole_adv_freq
0.6,0.3,1.00E-06,1,0.6,16,0,196,200,2,0,1.4,3.459626781,102,NA,29.18888889,133.1568627,0.219206793,2,17,1.120894955,0.294117647,1,2,9,12,5,17,0.306861061,0.363274588
0.2,0.3,1.00E-06,1,0.6,16,0,64,200,2,0,1.33,3.900550147,115,NA,44.45454545,247.7916667,0.179402908,2,24,-0.760249689,0.416666667,1,2,13,14,10,24,0.200537752,0.027593819
0.6,0.3,1.00E-06,1,0.6,16,0,37,200,2,0,1.4,3.102171206,99,NA,20.30555556,101.125,0.200796594,2,20,-0.245479314,0.5,1,2,14,10,10,20,0.170798416,0.479445727
0.6,0.3,1.00E-06,1,0.6,16,0,191,200,2,0.21,1.44,3.544631659,65,NA,40.34848485,176.7051282,0.228337939,2,13,0.63973249,0.230769231,1,2,8,10,3,13,0.376128303,0.269585253
0.4,0.3,1.00E-06,1,0.6,16,0,86,200,2,0,1.33,4.252381432,157,NA,43.66,219.6481481,0.198772448,2,27,0.031901308,0.407407407,1,2,15,11,16,27,0.196522952,0.037310806
0.6,0.3,1.00E-06,1,0.6,16,0,147,200,2,0,1.32,4.092615894,107,NA,18.56140351,101.3968254,0.183057048,2,21,-0.195479314,0.476190476,1,2,13,10,11,21,0.22163891,0.47799511
0.4,0.3,1.00E-06,1,0.6,16,0,111,200,2,0,1.29,3.21127031,131,NA,38.54545455,239.0833333,0.161221838,2,24,-0.093583022,0.333333333,1,2,15,8,16,24,0.153342228,0
0.2,0.3,1.00E-06,1,0.6,16,0,21,200,2,0,1.42,2.737630829,133,NA,42.14583333,235.0384615,0.179314624,2,26,-0.593454817,0.269230769,1,2,17,7,19,26,0.137630159,0
0.4,0.3,1.00E-06,1,0.6,16,0,47,200,2,0,1.29,3.661781291,135,NA,43.875,245.7692308,0.178521127,2,26,-0.51653174,0.192307692,1,2,11,5,21,26,0.229137294,0
0.6,0.3,1.00E-06,1,0.6,16,0,110,200,2,0,1.33,3.09041054,116,NA,47.88636364,256.5208333,0.186676314,2,24,-0.718583022,0.375,1,2,15,9,15,24,0.155247617,0
