sample,mutation_count,min_distance,location,max_distance,s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,seed
S5,664,22.20360331,edge,280.7222827,0,0.3,0,1,0.6,8,16
S6,772,11.66190379,edge,280.7222827,0,0.3,0,1,0.6,8,16
S7,713,17.02938637,edge,280.7222827,0,0.3,0,1,0.6,8,16
S8,645,34.66987165,edge,280.7222827,0,0.3,0,1,0.6,8,16
S9,582,47.12748667,edge,280.7222827,0,0.3,0,1,0.6,8,16
S10,596,52.17278984,edge,280.7222827,0,0.3,0,1,0.6,8,16
S11,575,43.9089968,edge,280.7222827,0,0.3,0,1,0.6,8,16
S12,620,29.96664813,edge,280.7222827,0,0.3,0,1,0.6,8,16
S13,640,8.246211251,edge,280.7222827,0,0.3,0,1,0.6,8,16
S14,668,26.2488095,edge,280.7222827,0,0.3,0,1,0.6,8,16
S15,599,48.84669897,edge,280.7222827,0,0.3,0,1,0.6,8,16
S16,586,68.24954212,edge,280.7222827,0,0.3,0,1,0.6,8,16
S17,575,75.66372975,center,280.7222827,0,0.3,0,1,0.6,8,16
S18,552,61.74139616,edge,280.7222827,0,0.3,0,1,0.6,8,16
S19,588,39.92492956,edge,280.7222827,0,0.3,0,1,0.6,8,16
S20,630,17.4642492,edge,280.7222827,0,0.3,0,1,0.6,8,16
S21,778,6,edge,280.7222827,0,0.3,0,1,0.6,8,16
S22,658,30,edge,280.7222827,0,0.3,0,1,0.6,8,16
S23,603,53.45091206,edge,280.7222827,0,0.3,0,1,0.6,8,16
S24,586,75.58438992,center,280.7222827,0,0.3,0,1,0.6,8,16
S25,541,87.46427842,center,280.7222827,0,0.3,0,1,0.6,8,16
S26,497,68.00735254,edge,280.7222827,0,0.3,0,1,0.6,8,16
S27,533,45.22167622,edge,280.7222827,0,0.3,0,1,0.6,8,16
S28,674,22.84731932,edge,280.7222827,0,0.3,0,1,0.6,8,16
S29,657,21.9317122,edge,280.7222827,0,0.3,0,1,0.6,8,16
S30,604,43.8634244,edge,280.7222827,0,0.3,0,1,0.6,8,16
S31,581,59.8414572,edge,280.7222827,0,0.3,0,1,0.6,8,16
S32,564,65.8634952,edge,280.7222827,0,0.3,0,1,0.6,8,16
S33,551,56.35601121,edge,280.7222827,0,0.3,0,1,0.6,8,16
S34,633,36.05551275,edge,280.7222827,0,0.3,0,1,0.6,8,16
S35,665,15.23154621,edge,280.7222827,0,0.3,0,1,0.6,8,16
S36,754,12.04159458,edge,280.7222827,0,0.3,0,1,0.6,8,16
S37,629,28.01785145,edge,280.7222827,0,0.3,0,1,0.6,8,16
S38,607,36.40054945,edge,280.7222827,0,0.3,0,1,0.6,8,16
S39,648,42.57933771,edge,280.7222827,0,0.3,0,1,0.6,8,16
